timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
87,58.0163,55.2989,-0.0,0.0,12.3067,44.304,12.3067,0.0,1.11275,-0.0,0.39023,44.628,1,0,0,0,1.27714,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
88,59.4283,56.5317,-0.0,0.0,12.4163,44.6989,12.4163,0.0,1.09692,-0.0,0.38467,45.861,1,0,0,0,1.28872,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
89,60.2527,57.7755,-0.0,0.0,12.5245,45.0881,12.5245,0.0,1.08128,-0.0,0.37918,47.105,1,0,0,0,1.30015,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
90,61.0576,59.0301,-0.0,0.0,12.6311,45.4718,12.6311,0.0,1.06583,0.0,0.37378,48.36,1,0,0,0,1.31141,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
91,62.3921,60.2953,0.0,-0.0,12.7361,45.85,12.7361,-0.0,1.05057,-0.0,0.36845,49.625,1,0,0,0,1.32251,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
92,63.6336,61.571,0.0,0.0,12.8397,46.2229,12.8397,0.0,1.03569,0.0,0.36319,50.9,1,0,0,0,1.33346,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
93,64.4087,62.857,0.0,0.0,12.9418,46.5904,12.9418,0.0,1.02081,-0.0,0.35802,52.186,1,0,0,0,1.34424,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
94,65.2149,64.1532,0.0,0.0,13.0424,46.9526,13.0424,0.0,1.00632,-0.0,0.35291,53.483,1,0,0,0,1.35488,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
95,67.0459,65.4594,0.0,0.0,13.1416,47.3098,13.1416,0.0,0.99201,-0.0,0.34788,54.789,1,0,0,0,1.36536,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
96,68.2715,66.7755,0.0,0.0,13.2394,47.6618,13.2394,0.0,0.9779,-0.0,0.34292,56.105,1,0,0,0,1.37569,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
97,69.4973,68.1014,0.0,0.0,13.3358,48.0088,13.3358,0.0,0.96397,-0.0,0.33803,57.431,1,0,0,0,1.38587,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
98,71.2977,69.4368,0.0,0.0,13.4308,48.3509,13.4308,0.0,0.95024,-0.0,0.33321,58.766,1,0,0,0,1.39591,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
99,72.8667,70.7818,0.0,-0.0,13.5245,48.6881,13.5245,-0.0,0.9367,-0.0,0.32846,60.111,1,0,0,0,1.4058,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
100,74.5097,72.1361,0.0,-0.0,13.6168,49.0205,13.6168,-0.0,0.92316,0.0,0.32378,61.466,1,0,0,0,1.41556,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
101,75.3786,73.4995,0.0,-0.0,13.7078,49.3481,13.7078,-0.0,0.91,0.0,0.31916,62.829,1,0,0,0,1.42518,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
102,76.6353,74.8721,0.0,-0.0,13.7975,49.671,13.7975,-0.0,0.89703,0.0,0.31461,64.202,1,0,0,0,1.43465,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
103,77.9551,76.2536,-0.0,-0.0,13.8859,49.9893,13.8859,-0.0,0.88425,0.0,0.31012,65.583,1,0,0,0,1.44399,0.0,"('>>>', '1S0_0_', 2)",,,,,,,,,,,,
