timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
406,69.5251,374.2532,0.0018,-0.011,13.3268,47.9766,13.3268,-0.0022,0.96512,6e-05,0.33844,364.934,11,0,0,0,1.38495,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
407,69.7112,375.5877,0.0016,-0.009,13.422,48.3191,13.422,-0.0019,0.95139,5e-05,0.33362,366.269,11,0,0,0,1.39496,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
408,69.804,376.9318,0.0014,-0.008,13.5158,48.6567,13.5158,-0.0017,0.93784,5e-05,0.32887,367.613,11,0,0,0,1.40491,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
409,69.9897,378.2852,0.0012,-0.007,13.6082,48.9895,13.6082,-0.0015,0.92449,4e-05,0.32418,368.966,11,0,0,0,1.41466,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
410,70.0828,379.6479,0.0011,-0.006,13.6993,49.3176,13.6993,-0.0013,0.91133,4e-05,0.31956,370.329,11,0,0,0,1.42426,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
411,70.2689,381.0196,0.0009,-0.006,13.7892,49.641,13.7892,-0.0012,0.89817,3e-05,0.31501,371.7,11,0,0,0,1.43379,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
412,70.5789,382.4003,0.0008,-0.005,13.8777,49.9597,13.8777,-0.0011,0.88539,3e-05,0.31052,373.081,11,0,0,0,1.44313,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
413,70.7652,383.7898,0.0007,-0.004,13.965,50.2739,13.965,-0.0009,0.8728,3e-05,0.3061,374.471,11,0,0,0,1.45234,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
414,70.8582,385.188,0.0006,-0.004,14.051,50.5837,14.051,-0.0008,0.8604,2e-05,0.30174,375.869,11,0,0,0,1.46145,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
415,71.0442,386.5948,0.0005,-0.003,14.1358,50.889,14.1358,-0.0007,0.8482,2e-05,0.29744,377.276,11,0,0,0,1.47041,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
416,71.1373,388.01,0.0005,-0.003,14.2194,51.19,14.2194,-0.0006,0.83599,2e-05,0.2932,378.691,11,0,0,0,1.47924,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
417,71.3233,389.4336,0.0004,-0.002,14.3019,51.4867,14.3019,-0.0005,0.82417,1e-05,0.28902,380.114,11,0,0,0,1.48794,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
418,71.6028,390.8654,0.0004,-0.002,14.3831,51.7791,14.3831,-0.0005,0.81234,1e-05,0.2849,381.546,11,0,0,0,1.49655,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
419,71.7887,392.3054,0.0003,-0.002,14.4632,52.0674,14.4632,-0.0004,0.8009,1e-05,0.28084,382.986,11,0,0,0,1.505,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
420,71.8817,393.7533,0.0003,-0.002,14.5421,52.3516,14.5421,-0.0004,0.78945,1e-05,0.27683,384.434,11,0,0,0,1.51335,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
421,72.0522,395.209,0.0002,-0.001,14.6199,52.6318,14.6199,-0.0003,0.7782,1e-05,0.27289,385.89,11,0,0,0,1.52157,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
422,72.1458,396.6725,0.0002,-0.001,14.6967,52.9079,14.6967,-0.0003,0.76714,1e-05,0.269,387.353,11,0,0,0,1.52961,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
423,72.332,398.1437,0.0002,-0.001,14.7723,53.1801,14.7723,-0.0002,0.75607,1e-05,0.26516,388.825,11,0,0,0,1.53767,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
424,72.6423,399.6224,0.0002,-0.001,14.8468,53.4485,14.8468,-0.0002,0.74539,1e-05,0.26138,390.303,11,0,0,0,1.54551,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
425,72.813,401.1086,0.0001,-0.001,14.9203,53.713,14.9203,-0.0002,0.73471,0.0,0.25766,391.789,11,0,0,0,1.55329,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
426,72.9057,402.6021,0.0001,-0.001,14.9927,53.9737,14.9927,-0.0002,0.72422,0.0,0.25398,393.283,11,0,0,0,1.56097,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
427,73.077,404.1028,0.0001,-0.001,15.0641,54.2307,15.0641,-0.0001,0.71392,0.0,0.25036,394.784,11,0,0,0,1.56849,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
428,73.1702,405.6106,0.0001,-0.001,15.1345,54.4841,15.1345,-0.0001,0.70381,0.0,0.24679,396.291,11,0,0,0,1.57592,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
429,73.3408,407.1254,0.0001,-0.0,15.2038,54.7338,15.2038,-0.0001,0.6937,0.0,0.24328,397.806,11,0,0,0,1.58328,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
430,73.5895,408.643,0.0001,-0.0,15.1001,54.3602,15.1001,-0.0001,-1.03779,-0.0,-0.05,399.324,11,0,0,0,1.58556,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
431,73.7753,410.151,0.0001,-0.0,14.9963,53.9866,14.9963,-0.0001,-1.03779,-0.0,-0.05,400.832,11,0,0,0,1.57542,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
432,73.8838,411.6485,0.0,-0.0,14.8925,53.613,14.8925,-0.0001,-1.03779,0.0,-0.05,402.329,11,0,0,0,1.56457,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
433,74.0699,413.1357,0.0,-0.0,14.7887,53.2394,14.7887,-0.0001,-1.03779,0.0,-0.05,403.817,11,0,0,0,1.55373,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
434,74.1785,414.6125,0.0,-0.0,14.6849,52.8658,14.6849,-0.0001,-1.03779,1e-05,-0.05,405.293,11,0,0,0,1.54289,0.0,"('4S0_0_', '5S0_0_', 2)",,,,,,,,
