timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
251,199.5719,256.2006,-0.002,0.012,14.5737,52.4653,14.5737,0.0027,0.78468,-7e-05,0.27519,246.078,6,0,0,0,1.51665,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
252,201.0837,257.6595,-0.0018,0.01,14.651,52.7438,14.651,0.0024,0.77362,-6e-05,0.27128,247.536,6,0,0,0,1.52482,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
253,202.2877,259.1261,-0.0015,0.009,14.7273,53.0183,14.7273,0.0021,0.76256,-5e-05,0.26741,249.003,6,0,0,0,1.53295,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
254,202.9593,260.6004,-0.0013,0.008,14.8025,53.2889,14.8025,0.0018,0.75169,-4e-05,0.2636,250.477,6,0,0,0,1.54085,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
255,203.9493,262.0821,-0.0012,0.007,14.8766,53.5557,14.8766,0.0016,0.741,-4e-05,0.25985,251.959,6,0,0,0,1.54866,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
256,205.9874,263.5712,-0.001,0.006,14.9496,53.8186,14.9496,0.0014,0.73032,-3e-05,0.25615,253.448,6,0,0,0,1.55641,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
257,207.6082,265.0676,-0.0009,0.005,15.0216,54.0778,15.0216,0.0012,0.72002,-3e-05,0.2525,254.945,6,0,0,0,1.564,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
258,209.1722,266.5712,-0.0008,0.004,15.0926,54.3333,15.0926,0.001,0.70972,-3e-05,0.2489,256.448,6,0,0,0,1.57149,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
259,210.7201,268.0818,-0.0007,0.004,15.1625,54.5851,15.1625,0.0009,0.69962,-2e-05,0.24536,257.959,6,0,0,0,1.57888,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
260,211.948,269.5995,-0.0006,0.003,15.2315,54.8334,15.2315,0.0008,0.6897,-2e-05,0.24186,259.476,6,0,0,0,1.58618,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
261,212.8154,271.124,-0.0005,0.003,15.2995,55.0782,15.2995,0.0007,0.67978,-1e-05,0.23841,261.001,6,0,0,0,1.59335,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
262,214.3878,272.6553,-0.0004,0.003,15.3665,55.3194,15.3665,0.0006,0.67024,-1e-05,0.23502,262.532,6,0,0,0,1.60043,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
263,215.6718,274.1933,-0.0004,0.002,15.4326,55.5572,15.4326,0.0005,0.66051,-1e-05,0.23167,264.07,6,0,0,0,1.60744,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,,,,,
