timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety
257,39.6557,252.9242,-0.0008,0.005,14.7708,53.1749,14.7708,0.0011,0.75626,-3e-05,0.26522,243.017,8,0,0,0,1.53749,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
258,39.7486,254.4027,-0.0007,0.004,14.8454,53.4433,14.8454,0.001,0.74558,-2e-05,0.26144,244.496,8,0,0,0,1.54537,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
259,39.9338,255.8887,-0.0006,0.004,14.9189,53.7079,14.9189,0.0008,0.7349,-2e-05,0.25772,245.982,8,0,0,0,1.55314,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
260,40.0269,257.3821,-0.0005,0.003,14.9913,53.9687,14.9913,0.0007,0.72441,-2e-05,0.25404,247.475,8,0,0,0,1.56079,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
261,40.1977,258.8826,-0.0005,0.003,15.0627,54.2258,15.0627,0.0006,0.71411,-2e-05,0.25042,248.975,8,0,0,0,1.56833,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
262,40.306,260.3903,-0.0004,0.002,15.1331,54.4792,15.1331,0.0005,0.704,-1e-05,0.24686,250.483,8,0,0,0,1.57579,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
263,40.4923,261.905,-0.0004,0.002,15.2025,54.729,15.2025,0.0005,0.69389,-1e-05,0.24334,251.998,8,0,0,0,1.58312,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
264,40.5853,263.4266,-0.0003,0.002,15.2709,54.9753,15.2709,0.0004,0.68398,-1e-05,0.23987,253.519,8,0,0,0,1.59033,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
265,40.7715,264.9551,-0.0003,0.002,15.3383,55.218,15.3383,0.0004,0.67425,-1e-05,0.23645,255.048,8,0,0,0,1.59746,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
266,40.867,266.4902,-0.0002,0.001,15.4048,55.4573,15.4048,0.0003,0.66471,-1e-05,0.23308,256.583,8,0,0,0,1.60448,0.0,"('3r0_0_', '3r0_1_', 2)",,,,,,,,
